Year,Country,Bronze,Gold,Silver,GrandTotal
1936,POR,3,0,0,3
1936,ROU,0,0,2,2
1936,RSA,0,0,1,1
1936,SUI,24,1,22,47
1936,SWE,16,7,11,34
1936,USA,15,51,26,92
1936,YUG,0,0,1,1
1948,AUS,5,2,9,16
1948,AUT,3,1,0,4
1948,BEL,8,4,2,14
1948,BRA,12,0,0,12
1948,CAN,5,0,1,6
1948,CUB,0,0,2,2
1948,DEN,27,7,15,49
1948,EGY,1,2,2,5
1948,ESP,0,,3,3
1948,FIN,7,15,7,29
1948,FRA,21,25,22,68
1948,GBR,11,6,39,56
1948,HUN,21,15,24,60
1948,IND,0,20,0,20
1948,IRI,1,0,0,1
1948,ITA,12,20,31,63
1948,JAM,0,1,2,3
1948,KOR,2,0,0,2
1948,MEX,4,4,1,9
1948,NED,32,8,2,42
1948,NOR,11,3,4,18
1948,PAN,2,0,0,2
1948,PER,0,1,0,1
1948,POL,1,0,0,1
1948,POR,3,0,2,5
1948,PUR,1,0,0,1
1948,RSA,1,2,1,4
1948,SRI,0,0,1,1
1948,SUI,5,5,22,32
1948,SWE,29,29,15,73
1948,USA,35,83,30,148
1948,YUG,0,,16,16
1952,ARG,2,2,2,6
1952,AUS,11,7,2,20
1952,AUT,2,0,1,3
1952,BEL,0,4,3,7
1952,BRA,2,1,0,3
1952,BUL,1,0,0,1
1952,CAN,0,1,3,4
1952,CHI,0,0,4,4
1952,DEN,5,3,1,9
1952,EGY,1,0,0,1
1952,ESP,0,0,1,1
1952,FIN,29,8,3,40
1952,FRA,16,14,9,39
1952,GBR,26,3,2,31
1952,GER,26,0,14,40
1952,HUN,32,52,17,101
1952,IND,1,14,0,15
1952,IRI,4,0,3,7
1952,ITA,15,17,21,53
1952,JAM,0,5,3,8
1952,JPN,2,1,9,12
1952,KOR,2,0,0,2
1952,LUX,0,1,0,1
1952,MEX,0,0,1,1
1952,NED,0,0,18,18
1952,NOR,0,5,8,13
1952,NZL,2,1,0,3
1952,POL,1,1,2,4
1952,POR,2,0,0,2
1952,ROU,2,1,1,4
1952,RSA,4,2,8,14
1952,SUI,12,2,19,33
1952,SWE,23,23,24,70
1952,USA,28,79,23,130
1952,YUG,0,4,20,24
1956,ARG,1,0,1,2
1956,AUS,26,23,12,61
1956,AUT,4,0,0,4
1956,BAH,2,0,0,2
1956,BEL,0,0,2,2
1956,BRA,0,1,0,1
1956,BUL,14,1,3,18
1956,CAN,5,5,9,19
1956,CHI,2,0,2,4
1956,DEN,1,1,5,7
1956,EUA,22,12,23,57
1956,FIN,22,3,1,26
1956,FRA,13,6,13,32
1956,GBR,22,8,15,45
1956,GRE,1,0,0,1
1956,HUN,14,30,20,64
1956,IND,0,17,0,17
1956,IRI,1,2,2,5
1956,ISL,0,0,1,1
1956,ITA,10,25,11,46
1956,JPN,5,4,15,24
